Day,Month,Year,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
1,5,2011,Scheduled,Departure,Domestic,19473
1,5,2011,Scheduled,Departure,International,3894
1,5,2011,Charter,Departure,International,1
1,5,2011,Charter,Departure,Domestic,17
1,5,2011,Scheduled,Arrival,Domestic,19479
1,5,2011,Charter,Arrival,Domestic,14
1,5,2011,Charter,Arrival,International,1
1,5,2011,Scheduled,Arrival,International,3897
1,6,2011,Charter,Departure,Domestic,9
1,6,2011,Scheduled,Arrival,Domestic,20073
1,6,2011,Charter,Departure,International,5
1,6,2011,Charter,Arrival,International,9
1,6,2011,Scheduled,Departure,Domestic,20057
1,6,2011,Scheduled,Departure,International,3941
1,6,2011,Charter,Arrival,Domestic,9
1,6,2011,Scheduled,Arrival,International,3949
1,7,2011,Charter,Arrival,International,6
1,7,2011,Scheduled,Departure,Domestic,20928
1,7,2011,Charter,Arrival,Domestic,4
1,7,2011,Charter,Departure,Domestic,6
1,7,2011,Scheduled,Arrival,Domestic,20949
1,7,2011,Scheduled,Departure,International,4236
1,7,2011,Charter,Departure,International,5
1,7,2011,Scheduled,Arrival,International,4235
1,8,2011,Scheduled,Departure,Domestic,20823
1,8,2011,Charter,Departure,Domestic,6
1,8,2011,Scheduled,Arrival,Domestic,20837
1,8,2011,Charter,Departure,International,6
1,8,2011,Charter,Arrival,Domestic,7
1,8,2011,Charter,Arrival,International,7
1,8,2011,Scheduled,Departure,International,4177
1,8,2011,Scheduled,Arrival,International,4184
1,9,2011,Scheduled,Departure,Domestic,18728
1,9,2011,Scheduled,Departure,International,3817
1,9,2011,Scheduled,Arrival,Domestic,18744
1,9,2011,Scheduled,Arrival,International,3825
1,9,2011,Charter,Departure,International,1
1,9,2011,Charter,Departure,Domestic,10
1,9,2011,Charter,Arrival,Domestic,11
1,9,2011,Charter,Arrival,International,2
1,10,2011,Charter,Arrival,Domestic,9
1,10,2011,Scheduled,Arrival,International,3884
1,10,2011,Charter,Departure,International,3
1,10,2011,Charter,Departure,Domestic,12
1,10,2011,Scheduled,Departure,Domestic,19214
1,10,2011,Scheduled,Departure,International,3876
1,10,2011,Scheduled,Arrival,Domestic,19212
1,10,2011,Charter,Arrival,International,1
1,11,2011,Charter,Arrival,Domestic,13
1,11,2011,Scheduled,Arrival,Domestic,18273
1,11,2011,Scheduled,Arrival,International,3554
1,11,2011,Charter,Departure,International,1
1,11,2011,Scheduled,Departure,International,3550
1,11,2011,Scheduled,Departure,Domestic,18268
1,11,2011,Charter,Departure,Domestic,12
1,11,2011,Charter,Arrival,International,1
1,12,2011,Charter,Departure,International,5
1,12,2011,Scheduled,Departure,Domestic,19136
1,12,2011,Scheduled,Arrival,Domestic,19159
1,12,2011,Charter,Arrival,Domestic,34
1,12,2011,Charter,Departure,Domestic,27
1,12,2011,Charter,Arrival,International,5
1,12,2011,Scheduled,Departure,International,3814
1,12,2011,Scheduled,Arrival,International,3818
1,1,2012,Charter,Departure,International,5
1,1,2012,Charter,Departure,Domestic,46
1,1,2012,Scheduled,Arrival,International,3773
1,1,2012,Charter,Arrival,Domestic,35
1,1,2012,Scheduled,Departure,International,3795
1,1,2012,Charter,Arrival,International,9
1,1,2012,Scheduled,Departure,Domestic,18464
1,1,2012,Scheduled,Arrival,Domestic,18477
1,2,2012,Scheduled,Arrival,International,3308
1,2,2012,Scheduled,Departure,International,3339
1,2,2012,Charter,Departure,Domestic,15
1,2,2012,Charter,Departure,International,6
1,2,2012,Scheduled,Arrival,Domestic,17605
